Date,SR30Y
2014-02-06,3.825639
2014-02-07,3.780651
2014-02-10,3.786564
2014-02-11,3.780842
2014-02-12,3.784535
2014-02-13,3.786798
2014-02-14,3.774919
2014-02-17,3.769847
2014-02-18,3.756863
2014-02-19,3.755442
2014-02-20,3.782797
2014-02-21,3.765906
2014-02-24,3.770067
2014-02-25,3.734604
2014-02-26,3.683863
2014-02-27,3.669475
2014-02-28,3.691551
2014-03-03,3.649519
2014-03-04,3.642459
2014-03-05,3.645846
2014-03-06,3.665598
2014-03-07,3.657877
2014-03-10,3.596023
2014-03-11,3.689479
2014-03-12,3.684422
2014-03-13,3.632012
2014-03-14,3.609286
2014-03-17,3.610006
2014-03-18,3.579283
2014-03-19,3.611793
2014-03-20,3.63957
2014-03-21,3.606802
2014-03-24,3.620199
2014-03-25,3.563631
2014-03-26,3.59186
2014-03-27,3.573437
2014-03-28,3.565106
2014-03-31,3.57831
2014-04-01,3.578589
2014-04-02,3.608523
2014-04-03,3.599096
2014-04-04,3.586381
2014-04-07,3.581885
2014-04-08,3.598287
2014-04-09,3.594602
2014-04-10,3.560556
2014-04-11,3.544405
2014-04-14,3.541322
2014-04-15,3.525298
2014-04-16,3.488391
2014-04-17,3.482185
2014-04-22,3.502855
2014-04-23,3.477387
2014-04-24,3.468463
2014-04-25,3.412852
2014-04-28,3.43439
2014-04-29,3.465826
2014-04-30,3.484051
2014-05-02,3.450911
2014-05-05,3.449514
2014-05-06,3.391369
2014-05-07,3.44353
2014-05-08,3.420177
2014-05-09,3.436049
2014-05-12,3.422024
2014-05-13,3.433631
2014-05-14,3.359778
2014-05-15,3.383569
2014-05-16,3.426022
2014-05-19,3.466669
2014-05-20,3.498021
2014-05-21,3.482331
2014-05-22,3.45591
2014-05-23,3.438933
2014-05-26,3.398217
2014-05-27,3.399235
2014-05-28,3.35732
2014-05-29,3.365295
2014-05-30,3.383122
2014-06-02,3.401194
2014-06-03,3.442742
2014-06-04,3.450064
2014-06-05,3.461297
2014-06-06,3.348836
2014-06-09,3.325252
2014-06-10,3.396878
2014-06-11,3.409841
2014-06-12,3.46773
2014-06-13,3.435526
2014-06-16,3.401234
