Date,EONIA_ESTR
2013-09-18,-0.007000000000000006
2013-09-19,-0.010000000000000009
2013-09-20,-0.007000000000000006
2013-09-23,-0.0050000000000000044
2013-09-24,-0.008000000000000007
2013-09-25,-0.008000000000000007
2013-09-26,-0.0030000000000000027
2013-09-27,0.0
2013-09-30,0.09399999999999999
2013-10-01,-0.0050000000000000044
2013-10-02,-0.006000000000000005
2013-10-03,-0.006000000000000005
2013-10-04,-0.0010000000000000009
2013-10-07,-0.0030000000000000027
2013-10-08,-0.0010000000000000009
2013-10-09,-0.0040000000000000036
2013-10-10,-0.0050000000000000044
2013-10-11,0.0
2013-10-14,-0.007000000000000006
2013-10-15,-0.007000000000000006
2013-10-16,-0.0030000000000000027
2013-10-17,0.002999999999999989
2013-10-18,0.007999999999999993
2013-10-21,0.0059999999999999915
2013-10-22,0.007999999999999993
2013-10-23,0.008999999999999994
2013-10-24,0.010999999999999996
2013-10-25,0.010999999999999996
2013-10-28,0.009999999999999995
2013-10-29,0.012999999999999998
2013-10-30,0.017999999999999988
2013-10-31,0.14300000000000002
2013-11-01,0.006999999999999992
2013-11-04,0.006999999999999992
2013-11-05,0.00399999999999999
2013-11-06,0.000999999999999987
2013-11-07,-0.007000000000000006
2013-11-08,-0.008000000000000007
2013-11-11,-0.009000000000000008
2013-11-12,-0.01100000000000001
2013-11-13,-0.015
2013-11-14,-0.009000000000000008
2013-11-15,-0.006000000000000005
2013-11-18,-0.0010000000000000009
2013-11-19,0.000999999999999987
2013-11-20,0.0059999999999999915
2013-11-21,0.022999999999999993
2013-11-22,0.032
2013-11-25,0.047
2013-11-26,0.046
2013-11-27,0.03799999999999999
2013-11-28,0.041999999999999996
2013-11-29,0.192
2013-12-02,0.026999999999999996
2013-12-03,0.032
2013-12-04,0.040999999999999995
2013-12-05,0.041999999999999996
2013-12-06,0.041999999999999996
2013-12-09,0.039999999999999994
2013-12-10,0.046
2013-12-11,0.05899999999999998
2013-12-12,0.054000000000000006
2013-12-13,0.06499999999999999
2013-12-16,0.09799999999999999
2013-12-17,0.12099999999999998
2013-12-18,0.09099999999999998
2013-12-19,0.074
2013-12-20,0.076
2013-12-23,0.073
2013-12-24,0.08600000000000001
2013-12-27,0.107
2013-12-30,0.138
2013-12-31,0.361
2014-01-02,0.06699999999999999
2014-01-03,0.025999999999999995
2014-01-06,0.010999999999999996
2014-01-07,0.013999999999999999
2014-01-08,0.052000000000000005
2014-01-09,0.071
2014-01-10,0.06899999999999999
2014-01-13,0.06799999999999999
2014-01-14,0.061999999999999986
2014-01-15,0.12499999999999999
