model,train_years,horizon,horizon_days,checkpoint_index,checkpoint_date,rmse,rmdse
MLP,1Y,6M,126,3032,2016-07-22,1.0247911214828491,0.6557028889656067
MLP,1Y,6M,126,3042,2016-08-05,0.891130268573761,0.591679036617279
MLP,1Y,6M,126,3052,2016-08-19,1.1585991382598877,0.6732174754142761
MLP,1Y,6M,126,3062,2016-09-02,1.0487960577011108,0.639723002910614
MLP,1Y,6M,126,3072,2016-09-16,0.924798846244812,0.5966165065765381
MLP,1Y,6M,126,3082,2016-09-30,0.9184723496437073,0.6127936840057373
MLP,1Y,6M,126,3092,2016-10-14,0.8641688227653503,0.5370826125144958
MLP,1Y,6M,126,3102,2016-10-28,0.9688944816589355,0.61537766456604
MLP,1Y,6M,126,3112,2016-11-11,0.8104696869850159,0.48516929149627686
MLP,1Y,6M,126,3122,2016-11-25,0.7900657057762146,0.4571889042854309
MLP,1Y,6M,126,3132,2016-12-09,0.9338385462760925,0.6981475949287415
MLP,1Y,6M,126,3142,2016-12-23,0.89717036485672,0.6350163817405701
MLP,1Y,6M,126,3152,2017-01-09,0.7998367547988892,0.467605859041214
MLP,1Y,6M,126,3162,2017-01-23,0.8062531352043152,0.48481714725494385
MLP,1Y,6M,126,3172,2017-02-06,0.8722943067550659,0.4973226487636566
MLP,1Y,6M,126,3182,2017-02-20,0.8058562278747559,0.414038747549057
MLP,1Y,6M,126,3192,2017-03-06,0.7834460139274597,0.45050373673439026
MLP,1Y,6M,126,3202,2017-03-20,0.8651634454727173,0.485301673412323
MLP,1Y,6M,126,3212,2017-04-03,0.8697777986526489,0.47111064195632935
MLP,1Y,6M,126,3222,2017-04-19,0.7891722917556763,0.44612693786621094
MLP,1Y,6M,126,3232,2017-05-03,0.6634925007820129,0.437871515750885
MLP,1Y,6M,126,3242,2017-05-17,0.7561123371124268,0.4914628565311432
MLP,1Y,6M,126,3252,2017-05-31,0.6809525489807129,0.4351810812950134
MLP,1Y,6M,126,3262,2017-06-14,0.936147153377533,0.5190228223800659
MLP,1Y,6M,126,3272,2017-06-28,0.7976524233818054,0.46799805760383606
MLP,1Y,6M,126,3282,2017-07-12,0.7284201979637146,0.4575490355491638
MLP,1Y,6M,126,3292,2017-07-26,0.7336331605911255,0.5087506771087646
MLP,1Y,6M,126,3302,2017-08-09,0.7907871603965759,0.5379406809806824
MLP,1Y,6M,126,3312,2017-08-23,0.895741879940033,0.45963120460510254
MLP,1Y,6M,126,3322,2017-09-06,0.8643367886543274,0.4405920207500458
MLP,1Y,6M,126,3332,2017-09-20,0.9559292197227478,0.5024924874305725
MLP,1Y,6M,126,3342,2017-10-04,0.8725276589393616,0.5479069352149963
MLP,1Y,6M,126,3352,2017-10-18,1.143638253211975,0.6537526845932007
MLP,1Y,6M,126,3362,2017-11-01,1.181085228919983,0.6390774846076965
MLP,1Y,6M,126,3372,2017-11-15,1.0527722835540771,0.6036001443862915
MLP,1Y,6M,126,3382,2017-11-29,1.1039743423461914,0.6049496531486511
MLP,1Y,6M,126,3392,2017-12-13,0.9092063903808594,0.5382702350616455
MLP,1Y,6M,126,3402,2017-12-29,0.9046096801757812,0.4491859972476959
MLP,1Y,6M,126,3412,2018-01-15,1.3035321235656738,0.7656362056732178
MLP,1Y,6M,126,3422,2018-01-29,1.2245336771011353,0.7184163928031921
MLP,1Y,6M,126,3432,2018-02-12,1.2823419570922852,0.8435726761817932
MLP,1Y,6M,126,3442,2018-02-26,0.8976925611495972,0.5990813374519348
MLP,1Y,6M,126,3452,2018-03-12,0.804996132850647,0.609550952911377
MLP,1Y,6M,126,3462,2018-03-26,1.25954270362854,0.9274719953536987
MLP,1Y,6M,126,3472,2018-04-11,0.7875314354896545,0.5978943109512329
MLP,1Y,6M,126,3482,2018-04-25,0.9805741906166077,0.6518733501434326
MLP,1Y,6M,126,3492,2018-05-09,1.6163058280944824,1.2401765584945679
MLP,1Y,6M,126,3502,2018-05-23,1.5702950954437256,1.2911182641983032
MLP,1Y,6M,126,3512,2018-06-06,1.0096147060394287,0.6404828429222107
MLP,1Y,6M,126,3522,2018-06-20,0.9532696008682251,0.5971418619155884
MLP,1Y,6M,126,3532,2018-07-04,0.915604829788208,0.5884785652160645
MLP,1Y,6M,126,3542,2018-07-18,1.0780683755874634,0.7093963027000427
MLP,1Y,6M,126,3552,2018-08-01,0.9997717142105103,0.6662347316741943
MLP,1Y,6M,126,3562,2018-08-15,0.9141393899917603,0.5782343745231628
MLP,1Y,6M,126,3572,2018-08-29,1.0067315101623535,0.6320598125457764
MLP,1Y,6M,126,3582,2018-09-12,1.0503147840499878,0.653218150138855
MLP,1Y,6M,126,3592,2018-09-26,1.2226777076721191,0.9339258670806885
MLP,1Y,6M,126,3602,2018-10-10,0.9694280028343201,0.6027798056602478
MLP,1Y,6M,126,3612,2018-10-24,0.9273888468742371,0.5816211700439453
MLP,1Y,6M,126,3622,2018-11-07,1.0738674402236938,0.7571175694465637
MLP,1Y,6M,126,3632,2018-11-21,1.0831749439239502,0.5993720293045044
MLP,1Y,6M,126,3642,2018-12-05,0.9938185214996338,0.5867928266525269
MLP,1Y,6M,126,3652,2018-12-19,1.068992257118225,0.5256403088569641
MLP,1Y,6M,126,3662,2019-01-07,1.0946125984191895,0.7034611701965332
MLP,1Y,6M,126,3672,2019-01-21,2.4379520416259766,1.747941493988037
MLP,1Y,6M,126,3682,2019-02-04,1.1712144613265991,0.6689455509185791
MLP,1Y,6M,126,3692,2019-02-18,1.4437991380691528,0.5937062501907349
MLP,1Y,6M,126,3702,2019-03-04,1.9690139293670654,1.3457468748092651
MLP,1Y,6M,126,3712,2019-03-18,1.4447952508926392,0.7086110711097717
MLP,1Y,6M,126,3722,2019-04-01,1.1545566320419312,0.6200118660926819
MLP,1Y,6M,126,3732,2019-04-15,1.463877558708191,0.9953277707099915
MLP,1Y,6M,126,3742,2019-05-01,1.7640643119812012,1.170026183128357
MLP,1Y,6M,126,3752,2019-05-15,1.5017508268356323,0.9942895770072937
MLP,1Y,6M,126,3762,2019-05-29,1.584596037864685,1.17008376121521
MLP,1Y,6M,126,3772,2019-06-12,4.234703063964844,1.9437381029129028
MLP,1Y,6M,126,3782,2019-06-26,2.260150909423828,1.7687859535217285
MLP,1Y,6M,126,3792,2019-07-10,1.4080275297164917,1.0772764682769775
MLP,1Y,6M,126,3802,2019-07-24,1.2916368246078491,0.9467269778251648
MLP,1Y,6M,126,3812,2019-08-07,1.2955750226974487,0.7728659510612488
MLP,1Y,6M,126,3822,2019-08-21,1.8278576135635376,1.5154656171798706
MLP,1Y,6M,126,3832,2019-09-04,1.1747077703475952,0.5126031637191772
MLP,1Y,6M,126,3842,2019-09-18,5.538679122924805,4.879939556121826
MLP,1Y,6M,126,3852,2019-10-02,2.3192033767700195,0.7384923696517944
MLP,1Y,6M,126,3862,2019-10-16,2.7952022552490234,0.9760966300964355
MLP,1Y,6M,126,3872,2019-10-30,2.7789454460144043,0.6967827081680298
MLP,1Y,6M,126,3882,2019-11-13,3.1078996658325195,0.9640910625457764
MLP,1Y,6M,126,3892,2019-11-27,2.5823326110839844,1.0982331037521362
MLP,1Y,6M,126,3902,2019-12-11,3.009761333465576,1.370125412940979
MLP,1Y,6M,126,3912,2019-12-27,2.6982269287109375,1.1796101331710815
