Date,rel_day,error,model,event_name
2008-11-03,21.0,3.1079879,MLP1Y,2008 Financial Crisis
2008-11-04,22.0,-3.9176917,MLP1Y,2008 Financial Crisis
2008-11-05,23.0,1.5457668,MLP1Y,2008 Financial Crisis
2008-11-06,24.0,4.1730227,MLP1Y,2008 Financial Crisis
2008-11-07,25.0,0.22146058,MLP1Y,2008 Financial Crisis
2008-11-10,26.0,-0.55373454,MLP1Y,2008 Financial Crisis
2008-11-11,27.0,4.9668417,MLP1Y,2008 Financial Crisis
2008-11-12,28.0,-0.22022367,MLP1Y,2008 Financial Crisis
2008-11-13,29.0,1.1744158,MLP1Y,2008 Financial Crisis
2008-11-14,30.0,-1.0006051,MLP1Y,2008 Financial Crisis
2008-11-17,31.0,4.242852,MLP1Y,2008 Financial Crisis
2008-11-18,32.0,-2.3702233,MLP1Y,2008 Financial Crisis
2008-11-19,33.0,4.8608227,MLP1Y,2008 Financial Crisis
2008-11-20,34.0,2.797742,MLP1Y,2008 Financial Crisis
2008-11-21,35.0,-0.5854845,MLP1Y,2008 Financial Crisis
2008-11-24,36.0,-11.884121,MLP1Y,2008 Financial Crisis
2008-11-25,37.0,0.20776306,MLP1Y,2008 Financial Crisis
2008-11-26,38.0,1.2324091,MLP1Y,2008 Financial Crisis
2008-11-27,39.0,-1.348703,MLP1Y,2008 Financial Crisis
2008-11-28,40.0,1.4681293,MLP1Y,2008 Financial Crisis
2008-12-01,41.0,8.069157,MLP1Y,2008 Financial Crisis
2008-12-02,42.0,-2.2742057,MLP1Y,2008 Financial Crisis
2008-12-03,43.0,-0.5721917,MLP1Y,2008 Financial Crisis
2008-12-04,44.0,2.6924505,MLP1Y,2008 Financial Crisis
2008-12-05,45.0,5.5929036,MLP1Y,2008 Financial Crisis
2008-12-08,46.0,-9.876164,MLP1Y,2008 Financial Crisis
2008-12-09,47.0,0.2806157,MLP1Y,2008 Financial Crisis
2008-12-10,48.0,-0.9675885,MLP1Y,2008 Financial Crisis
2008-12-11,49.0,0.8443956,MLP1Y,2008 Financial Crisis
2008-12-12,50.0,3.32698,MLP1Y,2008 Financial Crisis
2008-12-15,51.0,-0.1864844,MLP1Y,2008 Financial Crisis
2008-12-16,52.0,-3.505823,MLP1Y,2008 Financial Crisis
2008-12-17,53.0,0.49123615,MLP1Y,2008 Financial Crisis
2008-12-18,54.0,-0.96326077,MLP1Y,2008 Financial Crisis
2008-12-19,55.0,-0.5683608,MLP1Y,2008 Financial Crisis
2008-12-22,56.0,-0.011307597,MLP1Y,2008 Financial Crisis
2008-12-23,57.0,5.947875,MLP1Y,2008 Financial Crisis
2008-12-24,58.0,-0.52373624,MLP1Y,2008 Financial Crisis
2008-12-29,59.0,-0.9648447,MLP1Y,2008 Financial Crisis
2008-12-30,60.0,-1.135989,MLP1Y,2008 Financial Crisis
2008-12-31,61.0,1.3343099,MLP1Y,2008 Financial Crisis
2009-01-02,62.0,-3.9055684,MLP1Y,2008 Financial Crisis
2009-01-05,63.0,-1.2222382,MLP1Y,2008 Financial Crisis
2009-01-06,64.0,-1.6743798,MLP1Y,2008 Financial Crisis
2009-01-07,65.0,1.8542652,MLP1Y,2008 Financial Crisis
2009-01-08,66.0,0.3818664,MLP1Y,2008 Financial Crisis
2009-01-09,67.0,1.9775031,MLP1Y,2008 Financial Crisis
2009-01-12,68.0,1.2022644,MLP1Y,2008 Financial Crisis
2009-01-13,69.0,1.1478691,MLP1Y,2008 Financial Crisis
2009-01-14,70.0,5.054135,MLP1Y,2008 Financial Crisis
2009-01-15,71.0,-1.8074268,MLP1Y,2008 Financial Crisis
2009-01-16,72.0,-3.2095966,MLP1Y,2008 Financial Crisis
2009-01-19,73.0,2.0833626,MLP1Y,2008 Financial Crisis
2009-01-20,74.0,1.9761386,MLP1Y,2008 Financial Crisis
2009-01-21,75.0,0.14357552,MLP1Y,2008 Financial Crisis
2009-01-22,76.0,1.8823268,MLP1Y,2008 Financial Crisis
2009-01-23,77.0,-0.4195785,MLP1Y,2008 Financial Crisis
2009-01-26,78.0,-5.295163,MLP1Y,2008 Financial Crisis
2009-01-27,79.0,-0.6544396,MLP1Y,2008 Financial Crisis
2009-01-28,80.0,-2.8794603,MLP1Y,2008 Financial Crisis
2009-01-29,81.0,0.86911106,MLP1Y,2008 Financial Crisis
2009-01-30,82.0,2.5291843,MLP1Y,2008 Financial Crisis
2009-02-02,83.0,2.2985787,MLP1Y,2008 Financial Crisis
2009-02-03,84.0,-2.4992466,MLP1Y,2008 Financial Crisis
2009-02-04,85.0,-2.1359653,MLP1Y,2008 Financial Crisis
2009-02-05,86.0,1.7355629,MLP1Y,2008 Financial Crisis
