Date,SR10Y
2016-08-04,0.464027
2016-08-05,0.468498
2016-08-08,0.478133
2016-08-09,0.450409
2016-08-10,0.414468
2016-08-11,0.401371
2016-08-12,0.407456
2016-08-15,0.43751
2016-08-16,0.452571
2016-08-17,0.460032
2016-08-18,0.414745
2016-08-19,0.449436
2016-08-22,0.439701
2016-08-23,0.438064
2016-08-24,0.447784
2016-08-25,0.469522
2016-08-26,0.460268
2016-08-29,0.468301
2016-08-30,0.445854
2016-08-31,0.460085
2016-09-01,0.508176
2016-09-02,0.504868
2016-09-05,0.487056
2016-09-06,0.444993
2016-09-07,0.401116
2016-09-08,0.435834
2016-09-09,0.541207
2016-09-12,0.566517
2016-09-13,0.570331
2016-09-14,0.576046
2016-09-15,0.604463
2016-09-16,0.583081
2016-09-19,0.574219
2016-09-20,0.528415
2016-09-21,0.544528
2016-09-22,0.463237
2016-09-23,0.482742
2016-09-26,0.459036
2016-09-27,0.448262
2016-09-28,0.432249
2016-09-29,0.461381
2016-09-30,0.439981
2016-10-03,0.458711
2016-10-04,0.485301
2016-10-05,0.542556
2016-10-06,0.574858
2016-10-07,0.5742
2016-10-10,0.611476
2016-10-11,0.600359
2016-10-12,0.63488
2016-10-13,0.591446
2016-10-14,0.607237
2016-10-17,0.613539
2016-10-18,0.608197
2016-10-19,0.583171
2016-10-20,0.581353
2016-10-21,0.569813
2016-10-24,0.572183
2016-10-25,0.591974
2016-10-26,0.656539
2016-10-27,0.733787
2016-10-28,0.764229
2016-10-31,0.746634
2016-11-01,0.797565
2016-11-02,0.754132
2016-11-03,0.776739
2016-11-04,0.754193
2016-11-07,0.773252
2016-11-08,0.770964
2016-11-09,0.807745
2016-11-10,0.970694
2016-11-11,1.012229
2016-11-14,1.088723
2016-11-15,1.02278
2016-11-16,1.042801
2016-11-17,1.060237
2016-11-18,1.024687
2016-11-21,1.05586
2016-11-22,1.002888
2016-11-23,1.090169
2016-11-24,1.047631
2016-11-25,1.068408
2016-11-28,1.035478
2016-11-29,1.009529
2016-11-30,0.993362
2016-12-01,1.051203
2016-12-02,1.053649
2016-12-05,1.070209
2016-12-06,1.04184
2016-12-07,1.025935
2016-12-08,1.068975
2016-12-09,1.076003
2016-12-12,1.123244
2016-12-13,1.052055
2016-12-14,0.981661
2016-12-15,1.023052
2016-12-16,1.004414
2016-12-19,0.968269
2016-12-20,0.958386
2016-12-21,0.936149
2016-12-22,0.968255
2016-12-23,0.932202
2016-12-27,0.926219
2016-12-28,0.919
2016-12-29,0.922312
2016-12-30,0.932033
2017-01-02,0.885675
2017-01-03,0.984869
2017-01-04,1.007132
2017-01-05,1.057494
2017-01-06,1.07525
2017-01-09,1.03947
2017-01-10,1.040947
2017-01-11,0.992615
2017-01-12,0.999853
2017-01-13,1.024306
2017-01-16,1.038368
2017-01-17,0.991369
2017-01-18,1.037043
2017-01-19,1.110883
2017-01-20,1.127026
2017-01-23,1.131834
2017-01-24,1.107302
2017-01-25,1.183319
2017-01-26,1.224907
2017-01-27,1.249181
2017-01-30,1.287003
2017-01-31,1.286023
2017-02-01,1.320915
2017-02-02,1.252111
2017-02-03,1.276039
2017-02-06,1.290189
2017-02-07,1.306092
2017-02-08,1.248832
2017-02-09,1.174029
2017-02-10,1.239212
2017-02-13,1.233953
2017-02-14,1.216301
2017-02-15,1.259816
2017-02-16,1.216754
2017-02-17,1.193587
2017-02-20,1.233219
2017-02-21,1.229907
2017-02-22,1.197861
2017-02-23,1.172173
2017-02-24,1.148704
2017-02-27,1.115961
2017-02-28,1.096141
2017-03-01,1.129944
2017-03-02,1.165293
2017-03-03,1.18739
2017-03-06,1.175274
2017-03-07,1.197122
2017-03-08,1.26136
2017-03-09,1.251151
2017-03-10,1.325504
2017-03-13,1.348123
2017-03-14,1.36344
2017-03-15,1.318032
2017-03-16,1.346593
2017-03-17,1.357054
2017-03-20,1.363859
2017-03-21,1.354241
2017-03-22,1.284928
2017-03-23,1.26546
2017-03-24,1.272464
2017-03-27,1.238678
2017-03-28,1.225022
2017-03-29,1.199886
2017-03-30,1.197462
2017-03-31,1.19043
2017-04-03,1.192189
2017-04-04,1.138855
2017-04-05,1.147546
2017-04-06,1.131205
2017-04-07,1.093112
2017-04-10,1.122014
2017-04-11,1.138749
2017-04-12,1.137623
2017-04-13,1.109106
2017-04-18,1.100949
2017-04-19,1.093184
2017-04-20,1.12897
2017-04-21,1.124478
2017-04-24,1.123115
2017-04-25,1.135701
2017-04-26,1.170119
2017-04-27,1.131616
2017-04-28,1.116868
2017-05-02,1.117421
2017-05-03,1.105843
2017-05-04,1.129917
2017-05-05,1.112571
2017-05-08,1.126818
2017-05-09,1.167334
2017-05-10,1.127567
2017-05-11,1.172483
2017-05-12,1.156932
2017-05-15,1.16282
2017-05-16,1.158824
2017-05-17,1.12443
2017-05-18,1.079197
2017-05-19,1.086388
2017-05-22,1.123739
2017-05-23,1.112485
2017-05-24,1.112872
2017-05-25,1.085215
2017-05-26,1.045441
2017-05-29,1.041545
2017-05-30,1.061589
2017-05-31,1.027961
2017-06-01,1.139245
2017-06-02,1.115795
2017-06-05,1.132584
2017-06-06,1.086891
2017-06-07,1.108121
2017-06-08,1.055905
2017-06-09,0.989413
2017-06-12,0.95857
2017-06-13,0.974786
2017-06-14,0.942501
2017-06-15,1.038319
2017-06-16,0.979737
2017-06-19,0.982776
2017-06-20,0.943243
2017-06-21,0.93257
2017-06-22,0.917886
2017-06-23,0.930451
2017-06-26,0.915619
2017-06-27,1.007392
2017-06-28,1.031207
2017-06-29,1.103295
2017-06-30,1.161612
2017-07-03,1.146702
2017-07-04,1.14616
2017-07-05,1.1614
